LEI,Entity Name,Short Name,Category,Entity Status,Organization Designation
IIROCOOOOOOOOOOOMAND,Mandeville Private Client Inc.,MAND,Dealer Member,Active,Non-GSD
5493001ECI4NJPXI5P10,Manulife Bank of Canada,MBOC,Schedule I Bank,Active,Non-GSD
IIROCOOOOOOOOOOOMANU,Manulife Securities Incorporated,MANU,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOMPLF,Maple Futures Corp.,MPLF,Dealer Member,Inactive,Non-GSD
549300SY7KEVRLDRS457,Maple Securities Canada Limited,MPLS,Dealer Member,Inactive,Non-GSD
IIROCOOOOOOOOOOOMXCC,MarketAxess Canada Company,MXCC,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOMAWR,Mawer Direct Investing Ltd.,MAWR,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOMPWM,McLean & Partners Wealth Management Ltd.,MPWM,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOMDML,MD Management Limited,MDML,Dealer Member,Active,Non-GSD
549300GD2Y6NFWFLC565,Mega International Commercial Bank (Canada),MEGB,Schedule II Bank,Active,Non-GSD
QBB7LJ15BSZOYGYACQ50,Merrill Lynch Canada Inc.,MLCI,Dealer Member,Active,GSD
IIROCOOOOOOOOOOOMDLC,Middlefield Capital Corporation,MDLC,Dealer Member,Active,Non-GSD
5493001B191NKBHPGZ15,Mirabaud Canada Inc.,MIRA,Dealer Member,Active,Non-GSD
54930065FO7CXEUTGL76,Morgan Stanley Canada Limited,MORG,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOMUFG,"MUFG Securities (Canada), Ltd.",MUFG,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOONBDB,National Bank Direct Brokerage Inc.,NBDB,Dealer Member,Active,Non-GSD
549300D83GR71RNG0O65,National Bank Financial Inc.,NBFI,Dealer Member,Active,GSD
IIROCOOOOOOOOOOONBFL,National Bank Financial Ltd.,NBFL,Dealer Member,Active,Non-GSD
BSGEFEIOM18Y80CKCV46,National Bank of Canada,NBOC,Schedule I Bank,Active,Non-GSD
549300R6OJCZ1R8P6U58,NBCN inc.,NBCN,Dealer Member,Active,Non-GSD
5493008VDH0LPUR5EK64,OANDA (Canada) Corporation ULC,ONDA,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOOCSI,Ocean Securities Inc.,OCSI,Dealer Member,Inactive,GSD
IIROCOOOOOOOOOOOOCCC,Octagon Capital Corporation,OCCC,Dealer Member,Active,Non-GSD
